New_Segment,New_Description
271012,LABOURCESS PAYABLE
271022,RETENTION
272000,PAYABLE TO STAFF
272001,BANK LOAN STAFF
272002,COURT ATTACHMENT RECOVERY
272003,E P F RECOVERY
272004,G S L I S
272005,LIFE INSURANCE RECOVERY &REMMITTANCE
272007,PT RECOVERY
272008,STAFF CONTRIBUTION ON COMPASSION
272009,V P F RECOVERY
272010,C C RETAILERES BALANCE(SALARY DEDUCTION)
272011,BONUS / EXGRATIA PAYABLE
272012,COMPENSATION PAYABLE
272013,COVID INCENTIVE PAYABLE
272014,GRATUITY PREMIUM PAYABLE
272015,GRATUITY-TERMINAL BENIFIT
272016,GSLIS-TERMINAL BENIFIT
272017,SALARY DISBURSEMENT
272018,LABOURWELFARE FUND RECOVERY 
273000,DUTIES & TAXES
273001,TAX LIABILITY
274000,DEPOSITS
274001,QUARTERS DEPOSIT
274002,SECURITY DEPOSIT 
274003,EARNED DEPOSIT MONEY
276000,TRADE PAYABLES
276001,PAYABLE TO MPCS
276002,KMF/KMF UNITS & INTER UNION
276003,BILLS PAYABLE
276004,BANK GUARANTEE
276005,FIXED DEPOSIT RECEIPT
400000,SALES
410000,SALE OF MILK / MILK PRODUCTS & OTHERS
410001,STORE MTRLS & RAW MATERIALS
410002,MILK & MILK PRODUCTS 
410003,TRADING P&I STOCK
450000,SERVICE TURN OVER
450001,CONVERSION
450002,STORAGE INCOME
450003,CO-PACKING 
400800,OTHER INCOME 
400801,DISCOUNTS/REBATE/SHORTAGE/ EXCESS
400802,F I N E S (RECEIPT)
400803,FORFEITURE ACCOUNT
400804,INTEREST ON INCOME TAX REFUND
400805,INTEREST ON OVER DUES 
400806,MISCELENIOUS RECEIPTS 
400807,QUARTERS RENT 
400808,RENTAL INCOME
400809,APPLICATION FEE
400810,REPROCESSING CHARGES 
400811,SHARE ADMISSION FEE
400812,SHARE APPLICATION FEES
400813,INTEREST ON DEPOSITS & ADVANCES 
400814,EMERGENCY & MVR COUPONS
400815,SALE OF CANTEEN COUPONS
400816,CONCESSIONERI FEES
400817,SCRAP MATERIALS
400818,FREIGHT OUTWARD
510000,DIRECT MATERIALS
511000,PURCHASE MILK & MILK PRODUCTS
511001,PURCHASE OF RAW MILK
511002,PURCHASE OF MILK & MILK PRODUCTS (BOUGHT OUT)
512000,PURCHASE OF P&I ITEMS 
512001,TRADING P&I STOCK
512002,NON TRADING P&I STOCK
513000,PURCHASE STORES 
513001,GENERAL CONSUMABLES
513002,RAW MATERIALS
513003,PACKING MATERIALS
513004,PO Rate Variance Gain/LOSS
520000,DIRECT LABOUR
521000,DIRECT LABOUR PRODUCTION
521001,CONTRACT LABOUR
521002,SALARY & WELFARE EXPENSES 
530000,DIRECT EXPENSES
531000,TRANSPORTATION EXPENSES
531001,FREIGHT INWARD MILK & MILK PRODUCTS
531002,FREIGHT INWARD CONSUMABLES & SPARES
531003,OTHER TRANSPORTATION EXPENSES 
532000,OTHER DIRECT EXPENSES
532001,BUILDING REPAIR AND MAINTENANCE EXPENSES
532002,PEST AND POLLUTION CONTROL EXPENSES
532003,OTHER REPAIR & MAINTAINCE CHARGES
532004,INSURANCE CHARGES OF STOCK & MACHINERY
532005,LABORATORY TESTING & QUALITY ASSURANCE CHARGES
532006,PROCUREMENT SERVICE CHARGES
532007,CONVERSION & STORAGE CHARGES
532008,ELECTRICITY CHARGES 
532009,WATER CHARGES 
532010,DISCOUNTS/SUBSIDIES FOR SALES
810000,P&I WING EXPENSES
811000,AH ACTIVITY
811001,CATTLE INSURANCE PREMIUM 
811002,CALF RALLY
811003,PROFESSIONAL CHARGES-VET.DOCTORS
811004,VEHICLE TRANSPORT SERVICES
812000,AI ACTIVITY
812001,AI INCENTIVE EXPENSES
812002,LN2 CORPUS FUND
813000,OTHER MAINTENANCE AND EXPENSES 
813001,CAMP OFFICE RENT & MAINTENANCE EXPENSES
813002,DCS/DCS STAFF TRAINING PROGRAM EXP
813003,REGIONAL MEETING EXPENSES
814000,SUBSIDIES
814001,BAMUL CONTRIBUTION TO SCHEMES
814002,OTHER SUBSIDIES
820000,STAFF EXPENSES 
821000,SALARY & WELFARE EXPENSES 
821001,CANTEEN EXPENSES
821002,DEPUTATION STAFF COST 
821003,EMPLOYEES MEDICAL INSURANCE/IN PATIENT REIMBURSEMENT
821004,E P F CONTRIBUTION
821005,GRATUITY 
821006,LEAVE ENCASHMENT (REGULAR)
821007,LEAVE ENCASHMENT(SUPERANNUATION)
821008,MEDICAL REIMBURSEMENT IN/OUT PATIENT 
821009,SALARY 
821010,STAFF WELFARE EXPENSES 
821011,LABOUR WELFARE FUND CONTRIBUTION
830000,ADMINISTRATIVE & GENERAL EXPENSES 
831000,OTHER ADMIN/GENERAL EXPENSES
831001,ANNUAL MAINTENANCE CONTRACT-GENERAL
831002,GENERAL BODY MEETING 
831003,LICENCE & RENEWAL CHARGES
831004,OFFICE EXPENSES 
831005,RECRUITMENT EXPENSES
831006,SECURITY SERVICE CHARGES 
831007,TELEPHONE / INTERNET & MOBILE TEL.CHARGES
831008,E D L I PREMIUM 
831009,EPF ADMINISTRATIVE CHARGES
831010,FOREX GAIN/LOSS
831011,VEHICLE EXPENSES
832000,BOARD EXPENSES
832001,BOARD ELECTION EXPENSES
832002,BOARD MEETING EXPENSES
832003,BOARD SITTING FEE 
832004,BOARD STUDY TOUR 
832005,BOARD T A - D A 
833000,PROFESSIONAL EXPENSES
833001,LEGAL EXPENSES
833002,PROFESSIONAL SERVICE FEES 
833003,AUDIT FEES
840000,RATES & TAXES 
841000,RATES & TAXES 
841001,PROFESSIONL TAX
841002,OTHER TAX
850000,INTEREST & BANK CHARGES 
851000,BANK CHARGES
851001,BANK CHARGES
