product_code,product_description
NMBF0250,DRY FRUIT BURFI 250 GM
NMBH0100,YOGURT BANNA HONEY 100 ML
NMBI0014,CARAMEL BITE 14GM
NMBI0019,CREAMY BITE 19 GM
NMBI1000,GHEE BIB 1 LTR
NMBL0100,YOGURT BLUEBERRY 100 ML
NMBL0200,BESIN LADDU 200 GM
NMBM0180,PET BOTTLE GOOD LIFE BUTTER MILK 180
NMBM0200,TETRA BUTTER MILK 200 ML
NMBO0200,BANANA BOTTLE 200 ML
NMBP0200,BADAM PET BOTTLE FM 200 ML
NMBS0100,SHRIKHAND BUTTER SCOTCH 100 GM
NMBS0200,PET BOTTLE GOOD LIFE BANANA MILK SHAKE200
NMBU0100,COOKIES BUTTER 100 GM
NMBZFR12,GL ENERGY BAR WITH ZESTY FRUITS 12 GM
NMBZFR22,GL ENERGY BAR WITH ZESTY FRUITS 22 GM
NMCA0200,CHEESE SPREAD CAPSICUM 200 GM
NMCB0180,RAGI CRUNCHY BITES 180 GM
NMCB0200,COCONUT BURFI 200 GM
NMCB0250,CHOCOLATE BURFI 250 GM
NMCC0011,CHIT CHAT CHOCOLATE 11 GM
NMCC0018,GL RISE CRISPIES MILK CHOCO 18GM
NMCC0080,GL RISE CRISPIES MILK CHOCO 80GM
NMCE0200,CHEESE SPREAD PLAIN 200 GM
NMCF0200,CLOVE BOTTLE FM 200 ML
NMCH0011,GOOD LIFE CHOCOLATE 11 GM
NMCH0018,GL CRISPY MILK CHOCO 18GM
NMCH0200,TETRA CHOCOLATE 200 ML
NMCH0250,CHAKKI LADU 250 GM
NMCK0100,CHOCO COOKIES 100 GM
NMCL0100,NANDINI ECLAIR 100 GMS POUCH OLD
NMCM0018,GOOD LIFE BLACK CURRANT MILK CHOCO 18 GM
NMCO0020,COOKIES COCONUT 20 GM
NMCO0100,COOKIES COCONUT 100 GM
NMCO0200,CHOCOLATE BURFI 200 GM
NMCO0250,COCONUT BURFI 250 GM
NMCP0200,CHOCOLATE PET BOTTLE 200 ML
NMCR0200,TETRA CREAM 200 ML
NMCR0250,KHOVA CASHEW ROLL 250 GM
NMCS0020,COOKIES COCONUT 20 GM SINGLE PIECE
NMCS0180,RAGI CRUNCHY SPICY 180 GM
NMCS0200,PET BOTTLE GOOD LIFE CHOCOLATE MILK SHAKE200
NMCU0200,SET CURD 200 GM
NMCU0400,SET CURD 400 GM
NMCW0250,CASHEW BURFI 250 GM
NMDA1000,DAIRY WHITENER 1KG
NMDB0450,IDLI DOSA BATTER 450 GM
NMDB0900,IDLI DOSA BATTER 900 GM
NMDC0012,GL RICH DELICIOUS CRAMEL12GM
NMDC0022,GL RICH DELICIOUS CRAMEL22 GM
NMDC0045,GL RICH DELICIOUS CRAMEL 45 GM
NMDP0250,DHARWAD PEDA 250 GM
NMDU0200,MILLET LADU 200 GM
NMDW0200,DAIRY WHITENER 200 GM
NMDW0500,DAIRY WHITENER 500 GM
NMDW1000,DAIRY WHITENER 10 KG JAR
NMEBWN12,GL ENERGY BAR WITH WHOLESOME NUTS 12GM
NMEBWN22,GL ENERGY BAR WITH WHOLESOME NUTS 22GM
NMED0200,KESAR PEDA 200 GM
NMED0250,KESAR PEDA 250 GM
NMEL0100,SHRIKHAND ELACHI 100 GMS
NMEL0150,SHRIKHAND ELACHI 150 GM
NMEL0200,SHRIKHAND ELACHI 200 GM
NMEL0400,SHRIKHAND ELACHI 400 GM
NMEL0600,SHRIKHAND ELACHI 600 GM
NMEM1000,CREAM 1 LITER.
NMEO1000,CREAM 1 LITER OLD
NMEP0200,ELAICHI PEDA 200 GM
NMET0019,TREATO 19 GM
NMFM0200,PET BOTTLE GOOD LIFE PISTA FM 200
NMFM0180,PET BOTTLE GOOD LIFE STRAWBERRY FM 180
NMSFM200,TETRA STRA BARRY FM 200 ML
NMGA0150,SHRIKHAND GAUVA 150 GM
NMGA0600,SHRIKHAND GAUVA 600 GM
NMGB0180,PET BOTTLE GOOD LIFE BADAM FM 180
NMGB0200,PET BOTTLE GOOD LIFE BADAM FM 200
NMGB0250,JAGGERY BURFI 250 GM
NMGH0200,GHEE LADU 200 GM
NMGL0200,BOUNCE CORBONATED DRINKS GINGER LEMON 200 ML
NMGM0200,GINGER BOTTLE FM 200 ML
NMGP0200,JAGGERY PEDA 200 GM
NMGU0200,ULLAS GULLA 200 GM
NMHE0200,CHEDDER CHEESE 200 GM
NMHM0200,PET BOTTLE GOOD LIFE HERBAL MILK FM 200
NMIT0025,NANDINI BITE 25 GM
NMIX0200,BASUNDI MIX 200 GM
NMJN0200,JAGGERY OATS &NUTS BURFI 200GM
NMJO0050,GHEE JAR 50 ML OLD
NMJO0100,GHEE JAR 100 ML OLD
NMJO0250,ECLAIRS JAR 250 PICES OLD ONE
NMJP0020,COOKIES JEERA AND PEPPER 20 GM
NMJP0100,COOKIES JEERA PEPPER 100 GM
NMJP0200,BOUNCE CORBONATED DRINKS JEERA PUDINA 200 ML
NMJR0050,GHEE JAR 50 ML
NMJR0100,GHEE JAR 100 ML
NMJR0200,GHEE 200 JAR
NMJR0250,ECLAIRS JAR 250 PCS
NMJR0500,GHEE 500 JAR
