product_code,product_description
PINI0001,Liquid Nitrogen-LN2
PINR0001,ANIMAL REGISTRATION PAD
PINS1001,NUTRI SAC - 100GM
PINT0001,PROCESSOR INTEL P1
PINU0001,NUGGE SEED
PIOD0001,Memebership application form pad
PIOL0001,OIL PAD
PIOP0001,KNOB (PRINTER)
PIOR0001,EU DPS/MB/PRO:BUNG RUBBER WITH O RING
PIOT0001,THERMOMETER
PIOX0001,OXFEN VET 1'S- 150MG
PIPE0001,CONTROL PANEL
PIPN0001,DEHORNING PASTE 10Z
PIDW0001,DEWORMING PASTE 
PIPY0001,PAYMENT REGISTER.
PIPB0001,CALF REARING PROGRAMME BOOKLET
PIPA0001,MAIN POWER CORD
PIMP0001,MEASURING PCB COMPLETE(M.BOARD)
PISM0002,SCALE MAIN PCB (CANON)
PIPC0001,UP ETU50/PE50 LED WITH CABLE+CONNECTOR
PIPD0001,EU PRO LCD DISPLAY
PIPD2001,PROMPT MILK ANALYZER CLEANING SOLUTION DAILY-200ML
PIPG0001,MILK PIPPET GLASS.
PILP0002,LAMINATED PHOTOS
PIPH0001,SEAGATE 1TB PORTABLE EXTERNAL HARD DRIVE
PIPI0001,SPARE PIPES (M.ANALYSER SPARE)
PIPK0001,SPARE PARTS KIT
PIDR0002,DROPPING BOTTLE PLASTIC
PIPL0001,EU BELLOW PLASTICS
PIPM2001,PROMPT MILK ANALYZER CLEANING SOLUTION -MONTHLY-200ML
PIPP0001,BRUSHES FOR PIPETTE
PINR0002,NEW PRINTER LQ100+11
PIPR0001,PURCHASE REGISTER
PIPS0001,EU PIPE SILICON SMALL FOR PCB
PIEP0002,EU PLUNGER
PIMP0002,MOTOR PULLY(LACTOSCAN)
PIPU0001,PURCHASE-REGISTER
PIPV0001,"PROCESSOR DELL-VOSTRO270, INTEL"
PIRA0001,"MEMORY/RAM DELL COSTRO270, TRANSCEND 1GB"
PIRC0001,CONTRACTOR BILL PAD
PILR0001,LUCERNE
PIRE0001,MAIN TRANSFORMER (ESSAE)
PIRG0001,PF REDUCTION GEAR
PIRG1001,MEMORY/RAM TRANSCEND 1GB
PIRL0001,SENSOR FOR LACTOSCAN
PIRM0001,MILK PASS BOOK WITH COVER.
PIRO0001,PERISTALTIC PUMP ROTOR(MOTOR PULLY)
PIRP0001,ALLU REGULATING PIN.
PIRR0001,CARRIAGE MOTOR
PIRS0001,BRUSHES FOR SAMPLE BOTTLE
PIRT0001,CALF STARTER
PISK0002,SAAF KIT 200ML
PISF0002,SAMRUDHI FEED-01 KG
PISA0002,SOUTH AFRICAN TALL MAIZE
PISS0002,SS MILK SAMPLER
PISA0001,SULPHURIC ACID FOR MILK TESTING
PISB0001,SS MILK SAMPLE BOTTLE STAND
PIFC0002,FOOD SAFETY STANDARD CHARTS
PIPC0002,PP/PET STRAPPING TAPE CUTTER
PISP0002,SCRIBBLING PAD
PISC0001,UP:ETU 50 PB SWITCH CABLE CONNECTOR
PISC1001,EU SYRINGE 10ML COMPLETE
PISD0001,CSH 11 MF SEEDS
PISE0001,KSHEERA SENSOR
PISF0001,SS FILTER
PISG0001,BONUS REGISTER.
PISR0002,SHARE REGISTER
PISH0001,SH-SEMEN
PISHE0001,AI SHEETHS
PISJ0001,PP/PET/PVC TAPE ROLL WITH MPCS NAME AND CODE NO
PISJS001,PP/PET STRAPPING JAW SEALER
PISK0001,SAAF KIT WITH SPARY 200ML
PISL0001,SULPHURIC ACID .
PISL1001,S.S.MILK CAN. WITH LID 10 LTR CAPACITY
PIPS0002,PRINTER SMPS
PISE0002,SCALE SMPS (ESSAE)
PISM0001,SS MILK MEASURING SET
PISN0001,CLEANING SOLUTION
PISO0001,CLEANING SOLUTION MILKOSCREEN - 60055871
PIEB0002,EU PIPE SILICON BIG FOR PCB
PIES0002,EU PIPE SILICON BIG FOR PUMP
PINP0001,NON SHAKING STAND PLASTIC
PIPP0002,PIPETTE STAND PLASTIC
PIPL0002,SHAKING STAND PLASTIC
PISP0001,SS MILK PLUNGER
PIPR0002,PP/PET STAPPING ROLL
PISR0001,SHARE RECEIPT BOOK
PISS0001,S.S. MILK STAINER SET NDP
PILS0001,LOCK STOPPER
PIPI0002,PIPETTE STAND PLASTIC.
PIPR0003,PP/PET STAPPING PVC ROLL TAPE
PIST0002,SS MILK COLLECTION TRAY
PIST0003,SS MILK STAINER SET
PIST0001,STOCK REGISTER
PIST1001,STOCK BOOK 100 PAGS
PISU0001,EU FUSE AC POWER-1A
PISV0001,MILKANALIZER WITH ULTRASONIC STIR VIBRAT
PIEU0002,EU SWITCH ON/OFF AC MAIN
PINW0001,NON SHAKING STAND WOODEN
PINW0002,NON SHAKING STAND WOODEN.
PISW0001,SHAKING STAND WOODEN
PISY0001,MEASURING SENSOR YELLOW
PITB0001,MILK ADULTERATION TEST KIT (BMC)
PITE0001,TEST-REGISTER
PITF0001,CENTERFUG MACHINE SET ELECTRICAL(GERBER)
PITI0001,UP ETU50 PCB TIMER/FREG/LED ETC
PIMD0002,MILK ADULTERATION TEST KIT
PITK0001,MOTOR (KSHEERA)
PITL0001,UP ETU 50:PCB MAIN
PITM0001,DIGITAL HARDNESS TESTING METER
PITN0001,UP ETU50 TRANSFORMER
PIMT0002,MAIN TRANSFORMER (CANON)
PIMT0003,"MEMORY/RAM ACER-CERITON H81,TRANSCEND2GB"
PIML0002,MOTHER BOARD FOR LACTOSCAN
PITR0001,UP ETU50/PE50 PROBLE.BASERING+TOP CAP(RR
PITR0002,TEST REGISTER
PITS0001,TRUCK SHEET PAD.
PITW0001,MOTHERBOARD HP PRO1110 MICROTOWER(H61M)
PIUA0001,AUTOMATIC MILK COLLECTION UNIT WITH MILK ANALYZER
PIUC0001,MILK ANALYSER USE CHARTS
PIUC2001,UNIVERSAL CLEANING SOLUTION 200ML WEEKLY
PIUD2001,CLEANING SOLUTION 200ML UNIVERSAL-DAILY
PIUN0001,TRACTOR UNIT
PIVB0001,VELVET BEANS (Foundation Seeds)
PIVO0001,VOUCHER BOOK
PIVR0001,"SMPS ACCER-VERITON H81, FRONTECH"
PIVS0001,EMERGENCY VISIT CASE SHEET PAD
PIWA0001,ELE. WEIGHING SCALE WITH ACCESSPRIES- P&I DCS
PIWE0001,LOCTO WEEKLY
PIWL0001,DVD WRITER LG
PIWM0001,COW MAT
PIWS0001,ELECTRONIC WEIGHINGSCALE(WALLMOUNT DISP)
PIXF0001,OXFENVET 2200MG
PN000200,PANNER 200 GMS
PN000500,PANNER 500 GMS
PN001000,PANEER 1 KG
PN00BULK,PANNER BULK
PNMF0200,MEDIUM FAT PANEER 200 GM
SLLA0200,SWEET LASSI 200ML
SLLABULK,SWEET LASSI BULK
SP00001,SKIM MILK POWDER 1 KG
SP0025KG,SKIMMED MILK POWDER 25 KG BAG
SPSW25KG,SKIMMED MILK PODER SWEEP 25 KG
UHHC0160,HEALTHY LIFE LITE 160 ML in CRATE
UHHC0450,HEALTHY LIFE LITE 450 ML in CRATE
UHTC0160,TRUPTI MILK 160 ML in CRATE
UHTC0450,TRUPTI MILK 450 ML in CRATE
UHVVBULK,VIJAYA VAJRA MILK - BULK
UMHL0160,HEALTHY LIFE LITE 160 ML
UMHL0450,HEALTHY LIFE LITE 450 ML
UMTP0160,TRUPTI MILK 160 ML
UMTP0180,TRUPTI180
UMTP0450,TRUPTI MILK 450 ML
UMTP0500,TRUPTI MILK 500 ML
UMVV0180,VIJAYA VAJRA 180 ML
UMVV0500,VIJAYA VAJRA 500ML
WHEY25KG,WHEY POWDER 25 KG
WP000500,WHOLE MILK POWDER 500 GM
WP001000,WHOLE MILK POWDER 1000 GM
WP0025KG,WHOLE MILK POWDER 25 KG BAG
WPSWBULK,SWEEP POWDER WMP
